JID,Composition,Spg.numb.,Spg.symb.,Cryst.,Dimensionality,OPT SCF gap, MBJ gap,n-Seebeck,p-Seebeck,n-powerfact,p-powerfact,n-cond,p-cond,n-ZT,p-ZT,Avg.elec.mass,Avg.hole mass,n-mp-Seeb,p-mp-Seeb
JVASP-10197,CaSnO3,221,Pm-3m,cubic,3D,1.6842,na,-66.104752,411.0769067,460.3965721,2347.784952,105357.8067,13893.51567,0.113847975,1.247733267,0.223940237,0.223940237,-61.387773,404.35415
JVASP-10199,SrSn(BO3)2,148,R-3,trigonal,3D,3.9103,na,-189.5063267,443.89895,1193.966449,800.7574791,28345.27767,3891.8329,0.493842427,0.463323405,1.168222491,1.168222491,-163.8365967,432.2205367
JVASP-10202,YAsO4,141,I4_1/amd,tetragonal,3D,3.9081,5.4718,-127.1726967,432.7942133,779.7279085,1470.640271,48713.842,7906.8842,0.289662022,0.823666038,0.525985929,0.525985929,-121.7057733,434.6276933
JVASP-10203,Na2SnF6,136,P4_2/mnm,tetragonal,3D,5.0817,7.8522,-148.7872667,396.56918,861.7182259,284.0616225,40230.277,1757.3898,0.350369834,0.168884727,0.709794703,0.709794703,-171.1218433,403.6754367
JVASP-10204,Mg3P2,224,Pn-3m,cubic,3D,1.1885,1.644,-168.66976,391.20507,1815.268113,2801.465956,63806.706,18305.281,0.607697022,1.388372498,0.452958197,0.452958197,-174.35924,398.70427
JVASP-10205,Na2Zn2O3,14,P2_1/c,monoclinic,3D,1.2774,na,-80.81669533,285.3022533,520.0966495,1221.08448,79466.06333,15272.0774,0.151106406,0.608966921,0.274045538,0.274045538,-73.564897,294.4426067
JVASP-10206,InGaO3,194,P6_3/mmc,hexagonal,3D,1.5838,3.4041,-52.07129267,451.0860267,336.4956935,1760.222182,127109.66,9120.437933,0.073218821,0.981503306,0.178125931,0.178125931,-56.56553433,452.7669167
JVASP-10207,K2Mg(CO3)2,166,R-3m,trigonal,3D,4.17,na,-219.0509167,288.7881533,1022.415967,1171.133802,21301.93667,12244.4561,0.493841193,0.601830404,1.266203201,1.266203201,-216.8320967,288.2515267
JVASP-10209,K2As2Pd,63,Cmcm,orthorhombic,3D,0.6774,0.8001,-386.1620333,281.90313,3300.12753,2555.003268,23691.97597,29909.20957,1.366456791,0.98740223,5.188386686,5.188386686,-239.2805267,313.8914233
JVASP-10210,NaHgPO4,63,Cmcm,orthorhombic,3D,1.6544,na,-116.5508767,463.1410067,916.7948334,946.8451818,67383.08667,4411.739633,0.276996743,0.553668483,0.535265953,0.535265953,-107.6755833,439.3205067
